REQUEST_ID,ACTIVITY,START_DATE,END_DATE,CE_UO,ROLE,AUTOMATIC,CLOSURE_TYPE,CLOSURE_REASON,WORKING_STATE,CE_STATE,GENERAL_STATE
201812006837,ACTIVITY 8,2018-12-18 16:15:55.000,2018-12-18 16:20:54.000,CE_UO 22,APPLICANT,HUMAN,Client Recess,1 - Client lost,Completed,S000,Conclusa regolarmente
201812006837,ACTIVITY 14,2018-12-18 16:20:54.000,2018-12-19 09:59:07.000,CE_UO 404,DIRECTOR,HUMAN,Client Recess,1 - Client lost,Completed,S008,Conclusa regolarmente
201812007701,ACTIVITY 8,2018-12-20 12:09:10.000,2018-12-20 12:09:43.000,CE_UO 261,APPLICANT,HUMAN,Client Recess,7 - Keep other relationships. Same dip,Completed,S000,Conclusa regolarmente
201812007701,ACTIVITY 9,2018-12-20 12:09:43.000,2019-01-02 17:34:55.000,CE_UO 67,DIRECTOR,HUMAN,Client Recess,7 - Keep other relationships. Same dip,Completed,S005,Conclusa regolarmente
201812007701,ACTIVITY 10,2019-01-02 17:54:53.000,2019-01-02 17:57:16.000,CE_UO 67,APPLICANT,HUMAN,Client Recess,7 - Keep other relationships. Same dip,Completed,S010,Conclusa regolarmente
201812007701,ACTIVITY 2,2019-01-02 17:57:16.000,2019-01-14 10:01:04.000,CE_UO 1,BACK-OFFICE,HUMAN,Client Recess,7 - Keep other relationships. Same dip,Completed,S040,Conclusa regolarmente
201812007701,ACTIVITY 1,2019-01-14 10:01:04.000,2019-01-14 10:02:51.000,CE_UO 1,BACK-OFFICE,HUMAN,Client Recess,7 - Keep other relationships. Same dip,Completed,S050,Conclusa regolarmente
201812007701,ACTIVITY 6,2019-01-14 10:02:51.000,2019-01-16 03:10:30.000,CE_UO 1,BACK-OFFICE,HUMAN,Client Recess,7 - Keep other relationships. Same dip,Completed,S051,Conclusa regolarmente
201812002625,ACTIVITY 8,2018-12-07 15:04:43.000,2018-12-07 15:05:47.000,CE_UO 32,APPLICANT,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S000,Conclusa regolarmente
201812002625,ACTIVITY 10,2018-12-07 15:10:28.000,2018-12-07 15:12:23.000,CE_UO 11,APPLICANT,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S010,Conclusa regolarmente
