case,event,startTime,completeTime,REG_DATE,AMOUNT_REQ,org:resource
209464,A_SUBMITTED,2012/02/14 21:26:46.310,2012/02/14 21:26:46.310,2012/02/14 21:26:46.310,2000,R112
213894,A_SUBMITTED,2012/02/28 20:49:35.923,2012/02/28 20:49:35.923,2012/02/28 20:49:35.923,25000,R112
213894,A_PARTLYSUBMITTED,2012/02/28 20:49:36.173,2012/02/28 20:49:36.173,2012/02/28 20:49:35.923,25000,R112
213894,A_PREACCEPTED,2012/02/28 20:50:10.009,2012/02/28 20:50:10.009,2012/02/28 20:49:35.923,25000,R112
213894,A_PREACCEPTED,2012/02/28 20:50:10.009,2012/02/28 20:50:10.009,2012/02/28 20:49:35.923,25000,R112
213894,W_Completeren aanvraag,2012/02/29 10:33:30.220,2012/02/29 10:36:04.868,2012/02/28 20:49:35.923,25000,R10912
213894,W_Completeren aanvraag,2012/03/01 14:33:19.002,2012/03/01 14:34:38.345,2012/02/28 20:49:35.923,25000,R11299
213894,W_Completeren aanvraag,2012/03/02 09:43:34.128,2012/03/02 09:46:19.521,2012/02/28 20:49:35.923,25000,R11179
213894,W_Completeren aanvraag,2012/03/02 18:23:55.970,2012/03/02 18:25:13.552,2012/02/28 20:49:35.923,25000,R11302
213894,W_Completeren aanvraag,2012/03/06 10:53:31.523,2012/03/06 10:58:02.348,2012/02/28 20:49:35.923,25000,R11299
213894,W_Completeren aanvraag,2012/03/06 15:53:23.316,2012/03/06 15:58:00.058,2012/02/28 20:49:35.923,25000,R11299
213255,A_SUBMITTED,2012/02/27 12:54:26.599,2012/02/27 12:54:26.599,2012/02/27 12:54:26.599,5000,R112
213255,A_PARTLYSUBMITTED,2012/02/27 12:54:27.047,2012/02/27 12:54:27.047,2012/02/27 12:54:26.599,5000,R112
209948,A_SUBMITTED,2012/02/15 22:17:37.385,2012/02/15 22:17:37.385,2012/02/15 22:17:37.385,4500,R112
209948,A_PARTLYSUBMITTED,2012/02/15 22:17:37.566,2012/02/15 22:17:37.566,2012/02/15 22:17:37.385,4500,R112
209948,A_PARTLYSUBMITTED,2012/02/15 22:17:37.566,2012/02/15 22:17:37.566,2012/02/15 22:17:37.385,4500,R112
209948,W_Afhandelen leads,2012/02/16 09:31:44.544,2012/02/16 09:35:09.431,2012/02/15 22:17:37.385,4500,R11009
209948,W_Afhandelen leads,2012/02/16 10:42:09.458,2012/02/16 10:47:03.881,2012/02/15 22:17:37.385,4500,R11009
202551,A_SUBMITTED,2012/01/20 12:54:25.578,2012/01/20 12:54:25.578,2012/01/20 12:54:25.577,10000,R112
