REQUEST_ID,ACTIVITY,START_DATE,END_DATE,CE_UO,ROLE,CLOSURE_TYPE,CLOSURE_REASON,WORKING_STATE,case_cost
201810001900,Request created,2018-10-04 16:27:28.000,2018-10-04 16:28:51.000,421,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,1.5
201811003928,Request created,2018-11-12 11:14:21.000,2018-11-12 11:14:38.000,354,APPLICANT,Inheritance,,Completed,1.5
201811003928,Service closure Request with network responsibility,2018-11-12 11:14:38.000,2018-11-12 11:18:39.000,,APPLICANT,Inheritance,,Completed,2.1
201811010647,Request created,2018-11-28 12:28:14.000,2018-11-28 12:28:42.000,195,APPLICANT,Client Recess,,Completed,1.5
201811010647,Service closure Request with BO responsibility,2018-11-28 12:28:42.000,2018-11-30 11:02:55.000,,BACK-OFFICE,Client Recess,,Completed,2.3
201811010647,Pending Request for Reservation Closure,2018-11-30 11:02:55.000,2018-11-30 11:03:29.000,303,BACK-OFFICE,Client Recess,,Completed,3.1
201812007950,Request created,2018-12-21 08:06:03.000,2018-12-21 17:58:51.000,261,APPLICANT,Client Recess,,Completed,1.5
201812007950,Service closure Request with BO responsibility,2018-12-21 17:58:51.000,2018-12-21 17:59:40.000,BOF,BACK-OFFICE,Client Recess,,Completed,2.3
201812007950,Pending Request for Reservation Closure,2018-12-21 17:59:40.000,2018-12-21 18:01:21.000,BOF,BACK-OFFICE,Client Recess,,Completed,3.1
201812007950,Pending Liquidation Request,2018-12-21 18:01:21.000,2018-12-25 03:24:33.000,BOF,BACK-OFFICE,Client Recess,,Completed,3.9
201812007950,Back-Office Adjustment Requested,2018-12-25 03:24:33.000,2018-12-31 09:18:23.000,BOF,BACK-OFFICE,Client Recess,,Completed,11.9
201812000158,Request created,2018-12-03 10:24:04.000,2018-12-03 10:24:44.000,358,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,1.5
201812000158,Service closure Request with network responsibility,2018-12-03 10:24:44.000,2018-12-05 09:03:14.000,,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,2.1
201812000158,Authorization Requested,2018-12-05 09:03:14.000,2018-12-05 15:08:37.000,166,DIRECTOR,Client Recess,2 - Keep bank account. Same dip,Completed,4.91
201812000158,Service closure Request with BO responsibility,2018-12-05 15:08:37.000,2018-12-07 16:08:38.000,BOF,BACK-OFFICE,Client Recess,2 - Keep bank account. Same dip,Completed,5.71
201810000206,Request created,2018-10-01 12:01:44.000,2018-10-01 12:02:04.000,266,APPLICANT,Bank Recess,1 - Client lost,Completed,1.5
201810000206,Service closure Request with network responsibility,2018-10-01 12:02:04.000,2018-10-01 12:02:26.000,,APPLICANT,Bank Recess,1 - Client lost,Completed,2.1
201810000206,Authorization Requested,2018-10-01 12:02:26.000,2018-10-11 09:58:11.000,22,DIRECTOR,Bank Recess,1 - Client lost,Completed,4.91
201811004173,Request created,2018-11-12 15:38:25.000,2018-11-12 15:38:57.000,134,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,1.5
201811004173,Service closure Request with network responsibility,2018-11-12 15:38:57.000,2018-11-12 15:45:12.000,,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,2.1
201811004173,Authorization Requested,2018-11-12 15:45:12.000,2018-11-19 12:00:36.000,199,DIRECTOR,Client Recess,2 - Keep bank account. Same dip,Completed,4.91
201811004173,Service closure Request with BO responsibility,2018-11-19 12:00:36.000,2018-11-20 15:50:44.000,BOF,BACK-OFFICE,Client Recess,2 - Keep bank account. Same dip,Completed,5.71
201811004173,Pending Request for Reservation Closure,2018-11-20 15:50:44.000,2018-11-20 15:53:52.000,BOF,BACK-OFFICE,Client Recess,2 - Keep bank account. Same dip,Completed,6.51
201810000114,Request created,2018-10-01 10:17:33.000,2018-10-01 10:18:19.000,66,APPLICANT,Client Recess,1 - Client lost,Completed,1.5
201810000114,Evaluating Request (NO registered letter),2018-10-01 10:18:19.000,2018-10-01 10:22:31.000,264,DIRECTOR,Client Recess,1 - Client lost,Completed,16.0
201810000114,Service closure Request with network responsibility,2018-10-01 10:26:03.000,2018-10-01 10:27:40.000,264,APPLICANT,Client Recess,1 - Client lost,Completed,16.6
201810008058,Request created,2018-10-22 09:43:22.000,2018-10-22 09:43:59.000,403,APPLICANT,Client Recess,1 - Client lost,Completed,1.5
201811008237,Request created,2018-11-22 09:17:14.000,2018-11-22 09:17:57.000,139,APPLICANT,Porting,,Completed,1.5
201811008237,Pending Request for Network Information,2018-11-22 09:17:57.000,2018-11-30 11:48:00.000,48,APPLICANT,Porting,,Completed,2.1
201811004769,Request created,2018-11-13 16:27:08.000,2018-11-13 16:27:24.000,326,APPLICANT,Bank Recess,1 - Client lost,Completed,1.5
201811004769,Service closure Request with network responsibility,2018-11-13 16:27:24.000,2018-11-13 16:27:58.000,,APPLICANT,Bank Recess,1 - Client lost,Completed,2.1
201811004769,Authorization Requested,2018-11-13 16:27:58.000,2018-11-13 16:28:52.000,113,DIRECTOR,Bank Recess,1 - Client lost,Completed,4.91
201811009682,Request created,2018-11-26 15:35:17.000,2018-11-26 15:35:32.000,53,APPLICANT,Client Recess,1 - Client lost,Completed,1.5
201811009682,Evaluating Request (NO registered letter),2018-11-26 15:35:32.000,2018-11-26 15:51:09.000,404,DIRECTOR,Client Recess,1 - Client lost,Completed,16.0
201811009682,Service closure Request with network responsibility,2018-11-26 16:53:02.000,2018-11-26 16:54:10.000,404,APPLICANT,Client Recess,1 - Client lost,Completed,16.6
201810007236,Request created,2018-10-18 15:35:47.000,2018-10-18 15:36:03.000,359,APPLICANT,Bank Recess,,Completed,1.5
201811010829,Request created,2018-11-28 16:05:08.000,2018-11-28 16:05:37.000,300,APPLICANT,Bank Recess,1 - Client lost,Completed,1.5
201811010829,Service closure Request with network responsibility,2018-11-28 16:05:37.000,2018-11-28 16:12:26.000,,APPLICANT,Bank Recess,1 - Client lost,Completed,2.1
201811010829,Authorization Requested,2018-11-28 16:12:26.000,2018-11-28 16:13:47.000,474,DIRECTOR,Bank Recess,1 - Client lost,Completed,4.91
201811010829,Service closure Request with BO responsibility,2018-11-28 16:13:47.000,2018-11-29 13:26:50.000,BOF,BACK-OFFICE,Bank Recess,1 - Client lost,Completed,5.71
201812007724,Request created,2018-12-20 13:09:12.000,2018-12-20 13:09:31.000,483,APPLICANT,Client Recess,1 - Client lost,Completed,1.5
201812007724,Evaluating Request (NO registered letter),2018-12-20 13:09:31.000,2018-12-20 15:09:22.000,75,DIRECTOR,Client Recess,1 - Client lost,Completed,16.0
201812007724,Service closure Request with network responsibility,2018-12-21 08:33:22.000,2018-12-21 08:35:43.000,75,APPLICANT,Client Recess,1 - Client lost,Completed,16.6
201812007724,Service closure Request with BO responsibility,2018-12-21 08:35:43.000,2018-12-21 10:35:43.000,BOF,BACK-OFFICE,Client Recess,1 - Client lost,Completed,17.400000000000002
201810000599,Request created,2018-10-02 10:49:54.000,2018-10-02 10:50:30.000,416,APPLICANT,Client Recess,1 - Client lost,Completed,1.5
201810000599,Evaluating Request (NO registered letter),2018-10-02 10:50:30.000,2018-10-02 11:09:52.000,220,DIRECTOR,Client Recess,1 - Client lost,Completed,16.0
