CASE ID,remaining_time,TEST,Events from start,Events from end
2,37.934937,48.122256944444445,1,4
2,31.449123,36.123136574074074,2,3
2,31.039818,35.8959375,3,2
2,17.066,15.000231481481482,4,1
6,42.737423,42.982962962962965,1,3
6,16.746883,24.127430555555556,2,2
6,16.901043,15.000196759259259,3,1
9,43.78237,48.00061342592593,1,3
9,43.85828,48.00048611111111,2,2
9,44.05117,48.00039351851852,3,1
11,43.78195,44.045208333333335,1,3
11,44.012455,43.34767361111111,2,2
11,41.337822,35.25219907407408,3,1
13,33.85224,48.0021875,1,4
13,32.299812,47.98065972222222,2,3
13,27.114853,37.26015046296296,3,2
13,23.711264,37.22033564814815,4,1
15,33.85009,46.00206018518519,1,4
15,32.10087,45.997141203703706,2,3
15,30.769907,45.996886574074075,3,2
15,30.568678,45.98920138888889,4,1
17,43.782455,44.0053587962963,1,2
17,33.557156,31.992916666666666,2,1
19,33.535126,33.00422453703704,1,3
19,32.319767,32.95984953703704,2,2
19,30.926907,28.15483796296296,3,1
20,43.78214,59.00549768518518,1,3
20,44.012756,59.00377314814815,2,2
20,44.05064,58.70373842592593,3,1
21,39.68119,39.776747685185185,1,5
21,37.922844,36.88333333333333,2,4
21,34.929573,29.879641203703702,3,3
21,17.734322,15.00017361111111,4,2
21,17.142456,14.99994212962963,5,1
23,34.07262,32.797037037037036,1,4
23,17.479916,15.104814814814814,2,3
23,18.869293,15.090358796296297,3,2
23,17.61657,15.000231481481482,4,1
25,33.280796,52.222800925925924,1,4
25,32.07707,52.22258101851852,2,3
25,25.89846,38.92287037037037,3,2
25,17.044706,32.11159722222222,4,1
26,40.136665,38.00131944444445,1,3
26,40.04456,37.287083333333335,2,2
26,39.569256,36.197118055555556,3,1
27,34.170574,33.00341435185185,1,4
27,32.98529,33.00326388888889,2,3
27,31.047144,27.208912037037038,3,2
27,27.657969,26.264537037037037,4,1
28,39.634583,31.108055555555556,1,3
28,16.831585,14.958541666666667,2,2
28,20.041227,14.958541666666667,3,1
30,42.527107,48.25043981481482,1,5
30,41.180378,48.250023148148145,2,4
30,33.26748,41.053900462962964,3,3
30,16.43445,15.000289351851851,4,2
30,16.97064,15.000185185185185,5,1
31,39.64395,37.00611111111111,1,4
31,37.883034,30.310590277777777,2,3
31,37.557007,30.310381944444444,3,2
31,18.340042,15.000162037037038,4,1
34,34.223045,31.00347222222222,1,3
34,33.564144,30.83877314814815,2,2
34,31.615992,30.82611111111111,3,1
36,43.78211,33.183935185185184,1,5
36,40.463005,33.18378472222222,2,4
36,37.442875,33.18357638888889,3,3
36,38.625904,33.18346064814815,4,2
36,17.159504,15.000150462962964,5,1
37,33.99112,50.048171296296296,1,5
37,32.474438,50.04796296296296,2,4
37,27.162842,38.91498842592593,3,3
37,16.859995,21.20638888888889,4,2
37,17.858633,21.206099537037037,5,1
38,39.366035,51.009039351851854,1,4
38,39.48476,51.00893518518519,2,3
38,34.400734,45.11869212962963,3,2
38,17.530521,17.117002314814815,4,1
40,33.995132,31.005636574074074,1,3
40,32.35915,31.002222222222223,2,2
40,30.88928,30.86111111111111,3,1
41,41.674145,32.151608796296294,1,6
41,41.005745,32.01083333333333,2,5
41,37.942852,32.010729166666664,3,4
41,37.44932,31.332175925925927,4,3
41,36.741753,30.000416666666666,5,2
41,36.713627,30.000162037037036,6,1
44,39.027622,38.69746527777778,1,3
44,37.836185,37.778194444444445,2,2
44,36.947285,37.764212962962965,3,1
45,34.619816,33.00423611111111,1,3
45,34.485806,32.975659722222225,2,2
45,33.238117,31.823194444444443,3,1
46,42.655224,37.00528935185185,1,3
46,38.648067,36.96523148148148,2,2
46,37.771896,36.96402777777778,3,1
49,34.062233,31.00519675925926,1,3
49,32.86138,30.932442129629628,2,2
49,33.973366,30.754074074074072,3,1
52,41.314938,59.00711805555556,1,3
52,35.996574,55.86421296296297,2,2
52,35.825016,55.863310185185185,3,1
53,33.985172,46.006956018518515,1,3
53,32.264683,46.006828703703704,2,2
53,30.878681,45.944456018518515,3,1
54,42.677155,44.00224537037037,1,5
54,43.67821,43.115451388888886,2,4
54,43.454437,43.021400462962966,3,3
54,43.46396,43.02060185185185,4,2
54,41.94633,42.87685185185185,5,1
56,43.78216,44.00420138888889,1,4
56,44.01136,44.00361111111111,2,3
56,38.887356,38.89930555555556,3,2
56,39.067196,38.89930555555556,4,1
58,39.53055,42.179085648148146,1,9
58,40.21416,42.17872685185185,2,8
58,39.533386,41.08241898148148,3,7
58,33.603184,34.23543981481482,4,6
58,34.097107,34.23530092592593,5,5
58,17.039934,16.14962962962963,6,4
58,16.90012,15.19142361111111,7,3
58,16.985426,15.000219907407407,8,2
58,16.63659,15.000127314814815,9,1
60,42.138702,58.96149305555556,1,3
60,42.847755,58.88282407407407,2,2
60,40.74937,58.88185185185185,3,1
67,43.782154,41.37976851851852,1,3
67,44.012337,41.31251157407407,2,2
67,44.051407,41.27061342592592,3,1
68,34.379486,32.78762731481481,1,2
68,17.299196,15.000208333333333,2,1
75,33.98931,48.00592592592593,1,3
75,32.21577,46.99872685185185,2,2
75,30.787813,46.88212962962963,3,1
79,36.00542,33.78861111111111,1,4
79,33.99096,32.73108796296296,2,3
79,24.631985,17.99253472222222,3,2
79,17.160961,15.000127314814815,4,1
80,34.938137,35.374849537037036,1,6
80,32.87248,31.22972222222222,2,5
80,30.861855,31.224594907407408,3,4
80,30.530527,28.111782407407407,4,3
80,30.48165,23.319849537037037,5,2
80,17.75746,15.000162037037038,6,1
82,33.59319,46.005011574074075,1,4
82,32.109406,44.827974537037036,2,3
82,31.00901,44.82782407407407,3,2
82,30.805567,42.89791666666667,4,1
83,39.52149,40.002233796296295,1,3
83,39.69419,37.00674768518518,2,2
83,39.37928,36.96194444444444,3,1
85,43.782093,43.95325231481481,1,3
85,17.447172,28.075613425925926,2,2
85,16.2441,15.000185185185185,3,1
88,40.189495,35.00341435185185,1,4
88,40.2852,35.00168981481482,2,3
88,37.95357,34.87425925925926,3,2
88,37.741653,34.87424768518518,4,1
90,39.338875,43.8644212962963,1,3
90,20.707436,31.9525,2,2
90,16.886456,30.000266203703703,3,1
92,41.45615,43.96162037037037,1,4
92,40.118053,41.716655092592596,2,3
92,40.084553,41.034166666666664,3,2
92,37.692585,35.69668981481482,4,1
95,43.782154,50.96341435185185,1,3
95,16.86815,21.648888888888887,2,2
95,16.276346,15.000231481481482,3,1
97,33.494194,46.00679398148148,1,3
97,32.205647,46.006076388888886,2,2
97,27.09434,39.91601851851852,3,1
98,43.782127,31.001909722222223,1,6
98,44.012493,30.819166666666668,2,5
98,43.473034,29.828171296296297,3,4
98,43.46198,28.890266203703703,4,3
98,26.411745,15.025625,5,2
98,24.93522,15.000185185185185,6,1
101,43.78212,59.74905092592593,1,5
101,42.77995,57.01552083333333,2,4
101,43.266834,56.04337962962963,3,3
101,16.707598,15.000381944444445,4,2
101,18.011225,15.00013888888889,5,1
103,39.60497,32.122638888888886,1,3
103,37.89865,31.136979166666666,2,2
103,28.918222,22.020520833333332,3,1
113,43.782166,59.005,1,3
113,43.41382,59.00012731481481,2,2
113,44.00786,58.74150462962963,3,1
116,39.129433,38.0040625,1,4
116,37.88534,37.91417824074074,2,3
116,32.18732,31.09550925925926,3,2
116,30.674002,31.095497685185187,4,1
118,37.911926,54.77168981481481,1,3
118,18.215704,36.02332175925926,2,2
118,17.526161,15.000196759259259,3,1
119,42.669292,53.044583333333335,1,6
119,40.967655,52.99520833333333,2,5
119,40.5988,52.99519675925926,3,4
119,39.175846,51.22585648148148,4,3
119,37.54392,51.205613425925925,5,2
119,37.020744,51.205613425925925,6,1
127,33.98036,51.99685185185185,1,5
127,32.208004,50.260868055555555,2,4
127,27.111187,38.1534375,3,3
127,22.761986,29.980439814814815,4,2
127,17.174852,15.000127314814815,5,1
128,39.51718,49.71173611111111,1,4
128,33.93288,48.80505787037037,2,3
128,35.59488,48.76138888888889,3,2
128,17.60074,15.000219907407407,4,1
134,43.782124,44.00287037037037,1,3
134,44.01207,44.002546296296295,2,2
134,40.808975,38.72928240740741,3,1
142,34.014374,31.006909722222222,1,3
142,32.65449,28.21693287037037,2,2
142,31.082893,28.216921296296295,3,1
143,43.78152,31.000659722222224,1,3
143,44.011196,30.928252314814817,2,2
143,44.050835,30.809907407407408,3,1
146,39.72906,33.93045138888889,1,4
146,17.895187,16.15861111111111,2,3
146,16.857002,15.016145833333333,3,2
146,16.513885,15.000127314814815,4,1
148,34.116127,31.004479166666666,1,3
148,32.374886,31.004178240740742,2,2
148,31.720228,31.00164351851852,3,1
149,43.782078,44.00549768518518,1,3
149,44.012394,43.88909722222222,2,2
149,44.041737,36.82275462962963,3,1
152,42.69724,50.22,1,4
152,43.024967,50.219733796296296,2,3
152,38.98747,44.224270833333335,3,2
152,16.571894,15.000185185185185,4,1
157,43.78213,40.90563657407407,1,6
157,44.0124,40.905347222222225,2,5
157,33.75276,26.92164351851852,3,4
157,27.218279,20.931898148148147,4,3
157,19.918003,15.135659722222222,5,2
157,16.863995,15.000231481481482,6,1
161,39.61306,52.99954861111111,1,3
161,42.993225,52.83303240740741,2,2
161,40.55455,51.106006944444445,3,1
162,43.033688,36.2087962962963,1,5
162,44.008743,35.24850694444444,2,4
162,40.595795,29.364224537037035,3,3
162,28.569181,15.11460648148148,4,2
162,22.430584,15.00013888888889,5,1
165,43.782146,59.00415509259259,1,3
165,43.966072,56.14369212962963,2,2
165,44.051125,56.13111111111111,3,1
167,43.78207,44.04587962962963,1,3
167,44.012253,44.044583333333335,2,2
167,44.051434,43.944583333333334,3,1
168,34.119335,50.04087962962963,1,5
168,17.415192,32.148090277777776,2,4
168,20.607668,32.14761574074074,3,3
168,21.163887,32.14761574074074,4,2
168,16.933865,14.958530092592593,5,1
169,35.251938,31.046064814814816,1,3
169,32.949203,30.767592592592592,2,2
169,31.282816,30.76701388888889,3,1
179,39.918594,52.00642361111111,1,3
179,39.58786,52.006018518518516,2,2
179,37.94988,52.00287037037037,3,1
180,43.782036,44.00560185185185,1,3
180,44.01203,43.98745370370371,2,2
180,44.05125,43.69280092592592,3,1
181,43.78231,44.968148148148146,1,3
181,43.88501,43.01512731481481,2,2
181,43.450394,42.92144675925926,3,1
182,38.111652,46.00385416666666,1,3
182,41.23025,45.25672453703704,2,2
182,37.19331,41.052708333333335,3,1
183,43.782146,44.0012037037037,1,2
183,43.98875,44.00094907407407,2,1
188,40.02826,46.66518518518519,1,5
188,39.40654,46.66476851851852,2,4
188,16.851982,27.659074074074073,3,3
188,17.00829,15.000185185185185,4,2
188,17.063007,15.00017361111111,5,1
191,43.782112,31.00547453703704,1,3
191,33.629906,30.94236111111111,2,2
191,31.566326,29.696828703703705,3,1
197,42.684914,58.09596064814815,1,4
197,40.749012,53.08134259259259,2,3
197,28.488264,40.0874537037037,3,2
197,16.548555,15.000219907407407,4,1
198,34.04906,31.00462962962963,1,3
198,33.034935,30.95340277777778,2,2
198,31.334543,29.853877314814813,3,1
205,42.326645,44.00333333333333,1,5
205,42.6599,43.999525462962964,2,4
205,42.81275,43.99938657407407,3,3
205,41.49653,43.2928125,4,2
205,42.619316,43.29270833333333,5,1
207,35.031063,35.38238425925926,1,3
207,33.56527,35.35188657407407,2,2
207,32.459557,35.345671296296295,3,1
218,39.030483,43.857395833333335,1,3
218,33.158,36.939224537037035,2,2
218,21.75192,30.000300925925927,3,1
219,35.288708,46.001979166666665,1,3
219,28.09394,32.74920138888889,2,2
219,23.700485,32.748587962962965,3,1
225,35.356995,31.006099537037038,1,3
225,36.663193,30.286712962962962,2,2
225,34.4303,25.904849537037038,3,1
228,41.808483,39.88105324074074,1,3
228,17.742992,15.004594907407407,2,2
228,16.231565,15.00013888888889,3,1
229,43.78162,51.073541666666664,1,7
229,16.8559,21.894837962962963,2,6
229,16.267511,21.886087962962964,3,5
229,16.561947,21.11519675925926,4,4
229,19.088886,21.11484953703704,5,3
229,22.292833,16.001597222222223,6,2
229,24.036304,15.000266203703704,7,1
230,39.551193,33.006770833333334,1,3
230,42.65312,33.006643518518516,2,2
230,43.900204,33.00631944444444,3,1
233,39.816074,55.95918981481481,1,3
233,38.51396,55.95880787037037,2,2
233,39.470375,55.621574074074076,3,1
234,41.334194,53.001238425925926,1,3
234,40.743683,52.09123842592592,2,2
234,40.299225,52.00145833333333,3,1
235,39.76712,52.032164351851854,1,3
235,40.059563,51.996006944444446,2,2
235,37.95363,51.995497685185185,3,1
237,34.158646,32.00353009259259,1,4
237,28.67324,20.976643518518518,2,3
237,26.54691,20.976516203703703,3,2
237,25.922188,20.97548611111111,4,1
239,43.782417,46.80753472222222,1,3
239,21.74495,31.053148148148146,2,2
239,22.11201,30.00037037037037,3,1
240,37.1896,32.961412037037036,1,4
240,35.40148,32.958194444444445,2,3
240,36.920494,32.95420138888889,3,2
240,35.524513,32.94539351851852,4,1
247,34.66232,49.04725694444444,1,3
247,33.561264,48.99520833333333,2,2
247,34.11379,48.994050925925926,3,1
248,34.267437,41.76650462962963,1,4
248,17.299164,24.002453703703704,2,3
248,17.63686,23.973391203703702,3,2
248,17.94714,15.000231481481482,4,1
250,43.781986,44.00309027777778,1,5
250,44.01202,44.00298611111111,2,4
250,44.05118,43.815497685185186,3,3
250,44.05854,42.883217592592594,4,2
250,35.632183,30.99068287037037,5,1
254,39.98082,58.2081712962963,1,7
254,39.76925,57.10837962962963,2,6
254,32.715317,44.91328703703704,3,5
254,31.218721,44.911261574074075,4,4
254,30.429996,44.90386574074074,5,3
254,16.563078,17.121365740740742,6,2
254,17.470161,17.121238425925927,7,1
258,43.782154,58.96917824074074,1,3
258,44.01217,58.9690625,2,2
258,16.81708,15.000196759259259,3,1
264,33.29693,54.16153935185185,1,4
264,24.109768,47.26853009259259,2,3
264,17.494123,32.97498842592593,3,2
264,17.868294,15.000092592592592,4,1
269,39.537807,37.003113425925925,1,3
269,37.980103,37.002928240740744,2,2
269,37.639423,30.771284722222223,3,1
270,34.879738,55.01655092592593,1,3
270,32.959362,53.802199074074075,2,2
