CASE ID,Back-Office Adjustment Requested,Authorization Requested,Pending Request for acquittance of heirs,TEST_Back-Office Adjustment Requested,TEST_Authorization Requested,TEST_Pending Request for acquittance of heirs,Events from start,Events from end
20175000168,0.04087779,0.00024667382,0.00013503432,0,0,0,1,3
20175000168,0.036487907,0.00010147691,0.00020316243,0,0,0,2,2
20175000168,0.04541412,4.5835972e-05,3.8266182e-05,0,0,0,3,1
20175000642,0.13400087,0.9958107,0.00025463104,0,1,0,1,5
20175000642,0.13475358,0.996364,0.00015342236,0,1,0,2,4
20175000642,0.043321908,0.0055105984,0.00012025237,0,0,0,3,3
20175000642,0.045905888,0.00031852722,5.429983e-05,0,0,0,4,2
20175000642,0.04798919,0.00061771274,0.0002578199,0,0,0,5,1
20176000338,0.010221541,0.96364605,0.80085456,0,1,1,1,10
20176000338,0.010253936,0.9665226,0.7903336,0,1,1,2,9
20176000338,0.008079559,0.005999744,0.7866858,0,0,1,3,8
20176000338,0.008033901,0.004650086,0.77829987,0,0,1,4,7
20176000338,0.008454651,0.0030442774,0.7912575,0,0,1,5,6
20176000338,0.00797832,0.0029114187,0.7869742,0,0,1,6,5
20176000338,0.0074217618,0.0026399791,0.80574,0,0,1,7,4
20176000338,0.007366538,0.002710551,0.80207944,0,0,1,8,3
20176000338,0.0065385103,0.003282398,0.83873653,0,0,1,9,2
20176000338,0.003399521,8.752942e-05,0.96855897,0,0,1,10,1
20177001308,0.038443834,0.00029221177,0.00014165044,0,0,0,1,5
20177001308,0.03751099,9.420514e-05,0.00020670891,0,0,0,2,4
20177001308,0.039583623,2.0623207e-05,2.5063753e-05,0,0,0,3,3
20177001308,0.039417416,2.810359e-05,2.8371811e-05,0,0,0,4,2
20177001308,0.043529153,6.720424e-05,4.1037798e-05,0,0,0,5,1
20177003282,0.13390183,0.99580204,0.00025430322,0,1,0,1,5
20177003282,0.1357981,0.99639785,0.00017604232,0,1,0,2,4
20177003282,0.21784228,0.010911316,0.00032141805,0,0,0,3,3
20177003282,0.19779018,0.00043088198,0.0001565814,0,0,0,4,2
20177003282,0.18418667,0.00019356608,0.00032174587,0,0,0,5,1
20177004347,0.009978265,0.96498173,0.79814255,0,1,1,1,14
20177004347,0.010298073,0.9668535,0.7895143,0,1,1,2,13
20177004347,0.008120477,0.006103933,0.78508705,0,0,1,3,12
