CASE ID,case_cost,TEST,Events from start,Events from end
201710000981,13.717387,15.910000000000002,1,10
201710000981,13.85739,15.910000000000002,2,9
201710000981,13.91854,15.910000000000002,3,8
201710000981,13.925601,15.910000000000002,4,7
201710000981,14.653671,15.910000000000002,5,6
201710000981,14.6079445,15.910000000000002,6,5
201710000981,16.015392,15.910000000000002,7,4
201710000981,16.066534,15.910000000000002,8,3
201710000981,16.140001,15.910000000000002,9,2
201710000981,16.490444,15.910000000000002,10,1
201710001376,19.656996,27.800000000000004,1,6
201710001376,19.844961,27.800000000000004,2,5
201710001376,19.85606,27.800000000000004,3,4
201710001376,19.863396,27.800000000000004,4,3
201710001376,19.832108,27.800000000000004,5,2
201710001376,36.60456,27.800000000000004,6,1
201710002089,19.658388,19.800000000000004,1,5
201710002089,19.829798,19.800000000000004,2,4
201710002089,19.856379,19.800000000000004,3,3
201710002089,19.863234,19.800000000000004,4,2
201710002089,19.832184,19.800000000000004,5,1
201710002102,8.29238,8.11,1,5
201710002102,8.308488,8.11,2,4
201710002102,8.418513,8.11,3,3
201710002102,8.339149,8.11,4,2
201710002102,8.331665,8.11,5,1
201710002200,12.288063,9.51,1,7
201710002200,12.585024,9.51,2,6
201710002200,13.084029,9.51,3,5
201710002200,13.232936,9.51,4,4
201710002200,14.482432,9.51,5,3
201710002200,14.513864,9.51,6,2
201710002200,14.387371,9.51,7,1
201710002376,19.656733,19.800000000000004,1,5
201710002376,19.845057,19.800000000000004,2,4
201710002376,19.856436,19.800000000000004,3,3
201710002376,19.863457,19.800000000000004,4,2
201710002376,19.83209,19.800000000000004,5,1
201710002452,19.658781,24.51,1,8
201710002452,14.959085,24.51,2,7
201710002452,14.965376,24.51,3,6
201710002452,14.944453,24.51,4,5
201710002452,16.298033,24.51,5,4
201710002452,16.247448,24.51,6,3
201710002452,16.937614,24.51,7,2
201710002452,22.389515,24.51,8,1
201710002672,8.28481,8.11,1,5
201710002672,8.302831,8.11,2,4
201710002672,8.511675,8.11,3,3
201710002672,8.384696,8.11,4,2
201710002672,8.332519,8.11,5,1
201710002691,13.377706,8.11,1,5
201710002691,13.361958,8.11,2,4
201710002691,12.500833,8.11,3,3
201710002691,12.145959,8.11,4,2
201710002691,12.303778,8.11,5,1
201710002850,19.656794,19.800000000000004,1,5
201710002850,19.845673,19.800000000000004,2,4
201710002850,19.856293,19.800000000000004,3,3
201710002850,19.863483,19.800000000000004,4,2
201710002850,19.83213,19.800000000000004,5,1
201710003122,13.336202,14.51,1,8
201710003122,13.334385,14.51,2,7
201710003122,13.411229,14.51,3,6
201710003122,13.3847065,14.51,4,5
201710003122,14.589653,14.51,5,4
201710003122,14.5097885,14.51,6,3
201710003122,14.559771,14.51,7,2
201710003122,14.669529,14.51,8,1
201710004294,19.660534,19.800000000000004,1,5
201710004294,19.845728,19.800000000000004,2,4
201710004294,19.856102,19.800000000000004,3,3
201710004294,19.863514,19.800000000000004,4,2
201710004294,19.832186,19.800000000000004,5,1
201710004986,19.658411,19.800000000000004,1,5
201710004986,19.845375,19.800000000000004,2,4
201710004986,19.856157,19.800000000000004,3,3
201710004986,19.863327,19.800000000000004,4,2
201710004986,19.832026,19.800000000000004,5,1
201710005100,19.659021,16.51,1,7
201710005100,14.953679,16.51,2,6
201710005100,14.964542,16.51,3,5
201710005100,14.962825,16.51,4,4
201710005100,16.268955,16.51,5,3
201710005100,16.24727,16.51,6,2
201710005100,16.765833,16.51,7,1
201710006999,8.292538,8.11,1,5
201710006999,8.308597,8.11,2,4
201710006999,8.29875,8.11,3,3
201710006999,8.39683,8.11,4,2
201710006999,8.335666,8.11,5,1
201710007539,8.291568,9.51,1,7
201710007539,8.307886,9.51,2,6
201710007539,8.297762,9.51,3,5
201710007539,8.322706,9.51,4,4
201710007539,10.135441,9.51,5,3
201710007539,10.778073,9.51,6,2
201710007539,10.022582,9.51,7,1
201711001064,19.661022,19.800000000000004,1,5
201711001064,19.848047,19.800000000000004,2,4
201711001064,19.856625,19.800000000000004,3,3
201711001064,19.863506,19.800000000000004,4,2
201711001064,19.832193,19.800000000000004,5,1
201711001297,19.662249,19.800000000000004,1,5
201711001297,19.847048,19.800000000000004,2,4
201711001297,19.856228,19.800000000000004,3,3
201711001297,19.863623,19.800000000000004,4,2
201711001297,19.832197,19.800000000000004,5,1
201711001781,19.662903,19.800000000000004,1,5
201711001781,19.84934,19.800000000000004,2,4
201711001781,19.856346,19.800000000000004,3,3
201711001781,19.863558,19.800000000000004,4,2
201711001781,19.832212,19.800000000000004,5,1
201711001832,19.656822,27.800000000000004,1,6
201711001832,19.829355,27.800000000000004,2,5
201711001832,19.856121,27.800000000000004,3,4
201711001832,19.86334,27.800000000000004,4,3
201711001832,19.832176,27.800000000000004,5,2
201711001832,36.55178,27.800000000000004,6,1
201711002306,19.659452,17.2,1,1
201711002334,8.290693,8.11,1,5
201711002334,8.306998,8.11,2,4
201711002334,8.296063,8.11,3,3
201711002334,8.321194,8.11,4,2
201711002334,8.331446,8.11,5,1
201711002354,19.65922,27.800000000000004,1,6
201711002354,19.841545,27.800000000000004,2,5
201711002354,19.857195,27.800000000000004,3,4
201711002354,19.863379,27.800000000000004,4,3
201711002354,19.832214,27.800000000000004,5,2
201711002354,36.570515,27.800000000000004,6,1
201711002561,8.289706,9.51,1,7
201711002561,8.306451,9.51,2,6
201711002561,8.29634,9.51,3,5
201711002561,8.321723,9.51,4,4
201711002561,9.868954,9.51,5,3
201711002561,9.841422,9.51,6,2
201711002561,9.7662735,9.51,7,1
201711002728,8.292471,8.11,1,5
201711002728,8.308555,8.11,2,4
201711002728,8.29854,8.11,3,3
201711002728,8.322832,8.11,4,2
201711002728,8.300925,8.11,5,1
201711002732,8.292001,8.11,1,5
201711002732,8.308013,8.11,2,4
201711002732,8.29765,8.11,3,3
201711002732,8.321237,8.11,4,2
201711002732,8.291885,8.11,5,1
201711003530,19.659624,17.2,1,1
201711004406,19.657505,19.800000000000004,1,5
201711004406,19.845228,19.800000000000004,2,4
201711004406,19.856812,19.800000000000004,3,3
201711004406,19.863382,19.800000000000004,4,2
201711004406,19.832071,19.800000000000004,5,1
201711004779,8.292005,8.11,1,5
201711004779,8.30808,8.11,2,4
201711004779,8.298279,8.11,3,3
201711004779,8.323119,8.11,4,2
201711004779,8.333021,8.11,5,1
201711005034,19.657034,19.800000000000004,1,5
201711005034,19.844944,19.800000000000004,2,4
201711005034,19.856138,19.800000000000004,3,3
201711005034,19.86343,19.800000000000004,4,2
201711005034,19.83213,19.800000000000004,5,1
201711005290,8.29267,19.710000000000004,1,11
201711005290,8.308728,19.710000000000004,2,10
201711005290,8.298659,19.710000000000004,3,9
201711005290,8.322628,19.710000000000004,4,8
201711005290,9.855847,19.710000000000004,5,7
201711005290,9.834032,19.710000000000004,6,6
201711005290,9.760784,19.710000000000004,7,5
201711005290,17.485273,19.710000000000004,8,4
201711005290,21.604883,19.710000000000004,9,3
201711005290,22.424974,19.710000000000004,10,2
201711005290,22.823643,19.710000000000004,11,1
201711005315,13.317286,9.51,1,7
201711005315,13.385853,9.51,2,6
201711005315,13.3966465,9.51,3,5
201711005315,13.382599,9.51,4,4
201711005315,13.728577,9.51,5,3
201711005315,13.769263,9.51,6,2
201711005315,13.78157,9.51,7,1
201711005587,8.290787,8.11,1,5
201711005587,8.308144,8.11,2,4
201711005587,8.298286,8.11,3,3
201711005587,8.370633,8.11,4,2
201711005587,8.329387,8.11,5,1
201711006032,19.660301,15.110000000000005,1,5
201711006032,14.95144,15.110000000000005,2,4
201711006032,14.960116,15.110000000000005,3,3
201711006032,14.952891,15.110000000000005,4,2
201711006032,15.044528,15.110000000000005,5,1
201711006053,19.659376,19.800000000000004,1,5
201711006053,19.84633,19.800000000000004,2,4
201711006053,19.856539,19.800000000000004,3,3
201711006053,19.8636,19.800000000000004,4,2
201711006053,19.832214,19.800000000000004,5,1
201711006228,19.656986,19.800000000000004,1,5
201711006228,19.829601,19.800000000000004,2,4
201711006228,19.856014,19.800000000000004,3,3
201711006228,19.863268,19.800000000000004,4,2
201711006228,19.832163,19.800000000000004,5,1
201711006685,13.295942,12.310000000000002,1,11
201711006685,13.324218,12.310000000000002,2,10
201711006685,13.622703,12.310000000000002,3,9
201711006685,13.63237,12.310000000000002,4,8
201711006685,14.589555,12.310000000000002,5,7
201711006685,14.509642,12.310000000000002,6,6
201711006685,15.951799,12.310000000000002,7,5
201711006685,15.941562,12.310000000000002,8,4
201711006685,16.460176,12.310000000000002,9,3
201711006685,17.116684,12.310000000000002,10,2
201711006685,17.637959,12.310000000000002,11,1
201711006742,19.657072,19.800000000000004,1,5
201711006742,19.845676,19.800000000000004,2,4
201711006742,19.855993,19.800000000000004,3,3
201711006742,19.863537,19.800000000000004,4,2
201711006742,19.832138,19.800000000000004,5,1
201711006992,12.341334,13.11,1,6
201711006992,12.671841,13.11,2,5
201711006992,12.797464,13.11,3,4
201711006992,12.787158,13.11,4,3
201711006992,12.670358,13.11,5,2
201711006992,13.012758,13.11,6,1
201711007121,8.292495,8.11,1,5
201711007121,8.308661,8.11,2,4
201711007121,8.298609,8.11,3,3
201711007121,8.403553,8.11,4,2
201711007121,8.338846,8.11,5,1
201711007648,19.661339,27.800000000000004,1,6
201711007648,19.848356,27.800000000000004,2,5
201711007648,19.856256,27.800000000000004,3,4
201711007648,19.863571,27.800000000000004,4,3
201711007648,19.83219,27.800000000000004,5,2
201711007648,36.6002,27.800000000000004,6,1
201711007735,8.292146,8.11,1,5
201711007735,8.308188,8.11,2,4
201711007735,8.299209,8.11,3,3
201711007735,8.396049,8.11,4,2
201711007735,8.340721,8.11,5,1
201711007923,12.341965,9.51,1,7
201711007923,12.527755,9.51,2,6
201711007923,12.759495,9.51,3,5
201711007923,12.793034,9.51,4,4
201711007923,12.939006,9.51,5,3
201711007923,13.235786,9.51,6,2
