CASE ID,remaining_time,TEST,Events from start,Events from end
173688,0.73574054,12.415885185185186,1,20
173688,0.7611959,12.415881319444443,2,19
173688,10.986128,12.415267592592594,3,18
173688,11.320114,12.415267592592594,4,17
173688,11.756738,11.953045243055556,5,16
173688,12.594262,11.954788402777778,6,15
173688,12.498407,11.95309934027778,7,14
173688,12.459987,11.95309934027778,8,13
173688,12.448064,11.953076724537038,9,12
173688,12.449266,11.953074606481481,10,11
173688,12.4603815,11.953074606481481,11,10
173688,10.95498,11.930880810185185,12,9
173688,10.81992,4.75389050925926,13,8
173688,2.8586721,2.961472627314815,14,7
173688,3.3613477,2.961497199074074,15,6
173688,3.497586,2.961497199074074,16,5
173688,-0.08095878,9.027777777777777e-05,17,4
173688,-0.07800678,9.027777777777777e-05,18,3
173688,-0.13106829,9.027777777777777e-05,19,2
173688,-0.13460614,9.027777777777777e-05,20,1
173697,0.7364035,0.0004346527777777778,1,2
173697,0.7571029,0.00043269675925925924,2,1
173715,0.7305223,12.046036817129629,1,18
173715,0.7600353,12.046033483796295,2,17
173715,10.98757,12.045664097222222,3,16
173715,11.316926,12.045664097222222,4,15
173715,11.746973,11.971779398148149,5,14
173715,12.175834,11.941017673611112,6,13
173715,12.999046,11.94508443287037,7,12
173715,12.779311,11.941059328703703,8,11
173715,12.676157,11.941059328703703,9,10
173715,12.668974,11.941045162037037,10,9
173715,12.670135,11.941044861111111,11,8
173715,12.674375,11.941044861111111,12,7
173715,11.455386,4.768873958333334,13,6
173715,4.15106,2.924575196759259,14,5
173715,3.4003768,2.9245912152777778,15,4
173715,3.5525649,2.9245912152777778,16,3
173715,-0.08164937,4.006944444444445e-05,17,2
173715,-0.014348017,4.006944444444445e-05,18,1
173718,0.7323644,25.944704016203705,1,50
173718,0.7635431,25.944700613425926,2,49
173718,10.98612,25.944222488425925,3,48
173718,11.318364,25.944222488425925,4,47
173718,11.745425,25.93978976851852,5,46
173718,12.594256,25.941433020833333,6,45
173718,12.502168,25.939827141203704,7,44
173718,12.458641,25.939827141203704,8,43
173718,12.447609,25.93980420138889,9,42
173718,12.4469385,25.93980388888889,10,41
173718,12.457758,25.93980388888889,11,40
173718,10.943692,25.939615925925928,12,39
173718,10.7258,25.938254155092594,13,38
173718,12.73993,25.93829716435185,14,37
173718,13.413509,25.93829716435185,15,36
173718,13.946071,25.938282175925927,16,35
173718,14.050845,25.93828190972222,17,34
173718,14.077846,25.93828190972222,18,33
173718,12.708388,25.935894178240744,19,32
173718,12.1459465,25.93573016203704,20,31
173718,11.802053,18.698886782407406,21,30
173718,2.948483,16.93257335648148,22,29
173718,3.5595198,16.932601921296296,23,28
173718,3.5030935,16.932601921296296,24,27
173718,1.6563038,13.862375706018518,25,26
173718,1.3905318,13.862375706018518,26,25
173718,1.1774477,13.84189236111111,27,24
173718,1.2478609,13.808859675925927,28,23
173718,2.5485616,13.67083195601852,29,22
173718,2.7511978,13.669303981481482,30,21
173718,3.252555,13.669162939814816,31,20
173718,3.5466814,11.750350717592593,32,19
173718,3.653735,11.681795902777777,33,18
173718,3.8787894,9.823031006944444,34,17
173718,4.044397,9.784316076388889,35,16
173718,4.1921287,8.68862898148148,36,15
173718,4.3168936,8.646840138888889,37,14
173718,4.432449,8.646840138888889,38,13
173718,1.0822104,8.017134467592593,39,12
173718,1.0954757,8.017134467592593,40,11
173718,1.2930194,8.00069554398148,41,10
173718,1.2905914,7.9956330439814804,42,9
173718,0.93305916,6.991305868055556,43,8
173718,1.5591264,2.7452113194444445,44,7
173718,1.6806421,1.0454094328703705,45,6
173718,1.8818511,1.0454094328703705,46,5
173718,-0.11374305,9.795138888888888e-05,47,4
173718,-0.010622256,9.795138888888888e-05,48,3
173718,-0.034229953,9.793981481481481e-05,49,2
173718,-0.023414502,9.793981481481481e-05,50,1
173721,0.73275745,9.22286619212963,1,24
173721,0.76247966,9.222858680555555,2,23
173721,10.9812,9.222370659722221,3,22
173721,11.318795,9.222370659722221,4,21
173721,11.753219,9.213652581018518,5,20
173721,12.586959,9.215203703703704,6,19
173721,12.498072,9.21368417824074,7,18
173721,12.46249,9.21368417824074,8,17
173721,12.451628,9.21366773148148,9,16
173721,12.452697,9.213667361111112,10,15
173721,10.947194,9.213667361111112,11,14
173721,10.587522,9.21223912037037,12,13
173721,10.6071615,9.205272534722223,13,12
173721,10.521505,6.070026446759259,14,11
173721,10.562732,4.276876666666666,15,10
173721,3.8731897,4.276895925925926,16,9
173721,4.0510383,4.276895925925926,17,8
173721,1.3862071,0.26551443287037035,18,7
173721,1.2173684,0.26551443287037035,19,6
173721,1.3457302,0.25584480324074077,20,5
173721,1.4820713,0.1985757060185185,21,4
173721,1.6019647,0.0876815625,22,3
173721,0.0019731577,5.0775462962962957e-05,23,2
173721,0.05312127,5.0775462962962957e-05,24,1
173724,0.73096967,2.1639606481481484,1,12
173724,0.76359683,2.163957511574074,2,11
173724,0.6647457,2.163957511574074,3,10
173724,1.57568,2.1499178819444444,4,9
173724,1.2927682,2.144039097222222,5,8
173724,9.897668,2.144056064814815,6,7
173724,10.509032,2.144056064814815,7,6
173724,11.30838,2.0980525694444445,8,5
173724,11.883815,2.0738275578703704,9,4
173724,13.146429,2.0229490509259263,10,3
173724,13.693896,0.17683305555555556,11,2
173724,-0.045349162,3.513888888888889e-05,12,1
173727,0.731232,0.000505775462962963,1,2
173727,0.763484,0.0005041550925925926,2,1
173730,0.7304451,19.85570101851852,1,48
173730,0.76341337,19.855697962962964,2,47
173730,10.991811,19.855118587962963,3,46
173730,11.31702,19.855118587962963,4,45
173730,11.7450075,19.800573159722223,5,44
173730,12.175557,19.745243877314813,6,43
173730,13.170713,19.734052349537038,7,42
173730,13.781521,19.72788460648148,8,41
173730,14.392833,19.730730775462963,9,40
