CASE ID,2nd_3rd line,TEST_2nd_3rd line,Events from start,Events from end
5,0.30619285,0,1,31
5,0.30454865,0,2,30
5,0.17793468,0,3,29
5,0.12325081,0,4,28
5,0.07393351,0,5,27
5,0.053703606,0,6,26
5,0.040721238,0,7,25
5,0.033449918,0,8,24
5,0.03170097,0,9,23
5,0.03041944,0,10,22
5,0.026255965,0,11,21
5,0.026727706,0,12,20
5,0.026659489,0,13,19
5,0.027956545,0,14,18
5,0.026690781,0,15,17
5,0.024341047,0,16,16
5,0.0240601,0,17,15
5,0.023362637,0,18,14
5,0.022901505,0,19,13
5,0.022577733,0,20,12
5,0.02258733,0,21,11
5,0.022749573,0,22,10
5,0.022812366,0,23,9
5,0.022576094,0,24,8
5,0.022484452,0,25,7
5,0.022311926,0,26,6
5,0.021872133,0,27,5
5,0.021662802,0,28,4
5,0.021819651,0,29,3
5,0.02199021,0,30,2
5,0.021708816,0,31,1
7,0.64800763,1,1,13
7,0.9747082,1,2,12
7,0.99112415,1,3,11
7,0.99357694,1,4,10
7,0.9946529,1,5,9
7,0.9952023,1,6,8
7,0.995666,1,7,7
7,0.9957872,1,8,6
7,0.99599457,1,9,5
7,0.99596214,1,10,4
7,0.9959496,1,11,3
7,0.99576235,1,12,2
7,0.99494815,1,13,1
8,0.5475026,1,1,7
8,0.80745137,1,2,6
8,0.84396875,1,3,5
8,0.9830764,1,4,4
8,0.98808724,1,5,3
8,0.42359358,1,6,2
8,0.24754906,1,7,1
9,0.6311289,1,1,18
9,0.9429259,1,2,17
9,0.9916968,1,3,16
9,0.99378586,1,4,15
9,0.99588937,1,5,14
9,0.99631834,1,6,13
9,0.9964787,1,7,12
9,0.996632,1,8,11
9,0.9968136,1,9,10
9,0.99675244,1,10,9
9,0.9968672,1,11,8
9,0.99691796,1,12,7
9,0.99706274,1,13,6
9,0.9970422,1,14,5
9,0.9970977,1,15,4
9,0.99709505,1,16,3
9,0.99691665,1,17,2
9,0.9968542,1,18,1
10,0.63622653,1,1,51
10,0.94756806,1,2,50
10,0.99168336,1,3,49
10,0.99374795,1,4,48
10,0.9957938,1,5,47
10,0.99625695,1,6,46
10,0.99644524,1,7,45
10,0.99660337,1,8,44
10,0.9967884,1,9,43
