CASE ID,Wait - User,TEST_Wait - User,Events from start,Events from end
0,0.3610953,0,1,16
0,0.3610995,0,2,15
0,0.36110508,0,3,14
0,0.36111286,0,4,13
0,0.36112148,0,5,12
0,0.36112934,0,6,11
0,0.36113432,0,7,10
0,0.36113656,0,8,9
0,0.36113697,0,9,8
0,0.36113387,0,10,7
0,0.36112934,0,11,6
0,0.36112323,0,12,5
0,0.36111605,0,13,4
0,0.3611104,0,14,3
0,0.36110434,0,15,2
0,0.36109784,0,16,1
2,0.36109555,0,1,16
2,0.36110175,0,2,15
2,0.36111242,0,3,14
2,0.36112565,0,4,13
2,0.3611384,0,5,12
2,0.3611532,0,6,11
2,0.36116856,0,7,10
2,0.36118227,0,8,9
2,0.36119413,0,9,8
2,0.36120537,0,10,7
2,0.3612126,0,11,6
2,0.36121443,0,12,5
2,0.36121452,0,13,4
2,0.36121333,0,14,3
2,0.36121047,0,15,2
2,0.36120474,0,16,1
3,0.36109415,0,1,18
3,0.3610975,0,2,17
3,0.36110517,0,3,16
3,0.3611158,0,4,15
3,0.3611261,0,5,14
3,0.36113787,0,6,13
3,0.3611498,0,7,12
3,0.36115998,0,8,11
3,0.36116934,0,9,10
3,0.36117816,0,10,9
3,0.36118495,0,11,8
3,0.3611896,0,12,7
3,0.3611918,0,13,6
3,0.36119437,0,14,5
3,0.36119676,0,15,4
3,0.36119714,0,16,3
3,0.36119622,0,17,2
3,0.36119157,0,18,1
5,0.361098,1,1,31
5,0.3611104,1,2,30
5,0.36112916,1,3,29
5,0.36115232,1,4,28
5,0.3611747,1,5,27
5,0.3611907,1,6,26
5,0.36119896,1,7,25
5,0.3611965,1,8,24
5,0.3611859,1,9,23
5,0.3611679,1,10,22
5,0.36114278,1,11,21
5,0.36111432,1,12,20
5,0.3610867,1,13,19
5,0.36106423,1,14,18
5,0.36105192,1,15,17
5,0.36104706,1,16,16
5,0.36105204,1,17,15
5,0.3610632,1,18,14
5,0.36108166,1,19,13
5,0.36110622,1,20,12
5,0.36113054,1,21,11
5,0.3611518,1,22,10
5,0.36116916,1,23,9
5,0.36117733,1,24,8
5,0.36117876,1,25,7
5,0.36116773,1,26,6
5,0.36114293,1,27,5
5,0.36110047,1,28,4
5,0.36103934,1,29,3
5,0.36096528,0,30,2
5,0.3608895,0,31,1
14,0.3610937,1,1,20
14,0.36109722,1,2,19
14,0.36110526,1,3,18
14,0.36111504,1,4,17
14,0.36112797,1,5,16
14,0.36114085,1,6,15
14,0.36114886,1,7,14
14,0.36115435,1,8,13
14,0.36115807,0,9,12
14,0.36115932,0,10,11
14,0.36115763,0,11,10
14,0.36114958,0,12,9
14,0.36113966,0,13,8
14,0.36113188,0,14,7
14,0.36112532,0,15,6
14,0.36111793,0,16,5
14,0.36110973,0,17,4
14,0.3611008,0,18,3
14,0.36109203,0,19,2
14,0.36108446,0,20,1
21,0.36109704,0,1,5
21,0.36110687,0,2,4
21,0.36112332,0,3,3
21,0.36114687,0,4,2
21,0.36117136,0,5,1
23,0.3610936,0,1,13
23,0.36109656,0,2,12
23,0.36110377,0,3,11
23,0.3611133,0,4,10
23,0.3611236,0,5,9
23,0.36113468,0,6,8
23,0.36114216,0,7,7
23,0.36114556,0,8,6
23,0.36114585,0,9,5
23,0.36114404,0,10,4
23,0.3611393,0,11,3
23,0.36113352,0,12,2
23,0.36112636,0,13,1
28,0.36109525,0,1,12
28,0.36110175,0,2,11
28,0.36111373,0,3,10
28,0.36112636,0,4,9
28,0.36113158,0,5,8
28,0.36112916,0,6,7
28,0.3611199,0,7,6
28,0.36110908,0,8,5
28,0.36109954,0,9,4
28,0.3610905,0,10,3
28,0.36108446,0,11,2
28,0.36108077,0,12,1
30,0.3610974,0,1,13
30,0.36111027,0,2,12
30,0.3611307,0,3,11
30,0.36115205,0,4,10
30,0.36117202,0,5,9
30,0.36118644,0,6,8
30,0.3611949,0,7,7
30,0.36119437,0,8,6
30,0.36118346,0,9,5
30,0.3611664,0,10,4
30,0.36114377,0,11,3
30,0.3611179,0,12,2
30,0.36108983,0,13,1
32,0.36109558,1,1,8
32,0.3611015,1,2,7
32,0.36111116,1,3,6
32,0.36112195,1,4,5
32,0.36113313,1,5,4
32,0.36114553,0,6,3
32,0.36115435,0,7,2
32,0.36115882,0,8,1
33,0.3610969,1,1,7
33,0.3611043,1,2,6
33,0.361116,1,3,5
33,0.3611281,0,4,4
33,0.3611373,0,5,3
33,0.36114156,0,6,2
33,0.3611377,0,7,1
35,0.36109644,0,1,10
35,0.36110228,0,2,9
35,0.3611111,0,3,8
35,0.36112055,0,4,7
35,0.36113048,0,5,6
35,0.36113775,0,6,5
35,0.36113942,0,7,4
35,0.3611343,0,8,3
35,0.36111975,0,9,2
35,0.3610977,0,10,1
38,0.36109632,0,1,9
38,0.3611045,0,2,8
38,0.3611161,0,3,7
38,0.3611321,0,4,6
38,0.36114886,0,5,5
38,0.3611646,0,6,4
38,0.3611781,0,7,3
38,0.3611877,0,8,2
38,0.36119232,0,9,1
39,0.3610954,1,1,10
39,0.36110264,1,2,9
39,0.3611139,1,3,8
39,0.36112958,1,4,7
39,0.3611472,1,5,6
39,0.36116403,1,6,5
39,0.36117738,1,7,4
39,0.36118585,1,8,3
39,0.36119044,0,9,2
39,0.3611902,0,10,1
40,0.36109602,1,1,16
