CASE ID,Back-Office Adjustment Requested,Explanation
201711007735,0.0,CLOSURE_TYPE=Bank Recess has predicted that Back-Office Adjustment Requested won't be performed; 
201810000251,1.0,ACTIVITY=Pending Liquidation Request has predicted that Back-Office Adjustment Requested will be performed; ROLE=BACK-OFFICE has predicted that Back-Office Adjustment Requested will be performed; CE_STATE=S051 has predicted that Back-Office Adjustment Requested will be performed; 
201810000519,0.0,GENERAL_STATE!=Conclusa regolarmente has predicted that Back-Office Adjustment Requested won't be performed; 
201810000982,0.0,CE_UO!=BOF has predicted that Back-Office Adjustment Requested won't be performed; ROLE!=BACK-OFFICE has predicted that Back-Office Adjustment Requested won't be performed; 
201810001257,0.0,CE_UO!=BOF has predicted that Back-Office Adjustment Requested won't be performed; ROLE!=BACK-OFFICE has predicted that Back-Office Adjustment Requested won't be performed; 
201810001390,0.0,CLOSURE_TYPE=Inheritance has predicted that Back-Office Adjustment Requested won't be performed; 
201810002538,0.0,ACTIVITY!=Service closure Request with BO responsibility has predicted that Back-Office Adjustment Requested won't be performed; CE_STATE!=S040 has predicted that Back-Office Adjustment Requested won't be performed; 
201810003626,0.0,ACTIVITY!=Service closure Request with BO responsibility has predicted that Back-Office Adjustment Requested won't be performed; ROLE!=BACK-OFFICE has predicted that Back-Office Adjustment Requested won't be performed; CE_STATE!=S040 has predicted that Back-Office Adjustment Requested won't be performed; GENERAL_STATE!=Conclusa regolarmente has predicted that Back-Office Adjustment Requested won't be performed; 
201810006219,1.0,CLOSURE_REASON=0 has predicted that Back-Office Adjustment Requested will be performed; 
201810007093,0.0,CE_UO!=BOF has predicted that Back-Office Adjustment Requested won't be performed; ROLE!=BACK-OFFICE has predicted that Back-Office Adjustment Requested won't be performed; CE_STATE!=S040 has predicted that Back-Office Adjustment Requested won't be performed; 
201810008080,0.0,CLOSURE_TYPE=Bank Recess has predicted that Back-Office Adjustment Requested won't be performed; 
201810008185,0.0,CE_UO!=BOF has predicted that Back-Office Adjustment Requested won't be performed; ROLE!=BACK-OFFICE has predicted that Back-Office Adjustment Requested won't be performed; 
201810009086,0.0,ROLE!=BACK-OFFICE has predicted that Back-Office Adjustment Requested won't be performed; 
201810009603,0.0,CE_UO!=BOF has predicted that Back-Office Adjustment Requested won't be performed; ROLE!=BACK-OFFICE has predicted that Back-Office Adjustment Requested won't be performed; 
201810011074,0.0,ACTIVITY!=Service closure Request with BO responsibility has predicted that Back-Office Adjustment Requested won't be performed; ROLE!=BACK-OFFICE has predicted that Back-Office Adjustment Requested won't be performed; CE_STATE!=S040 has predicted that Back-Office Adjustment Requested won't be performed; 
201811000461,0.0,CE_STATE!=S040 has predicted that Back-Office Adjustment Requested won't be performed; 
201811003618,0.0,CLOSURE_TYPE=Bank Recess has predicted that Back-Office Adjustment Requested won't be performed; CLOSURE_REASON!=0 has predicted that Back-Office Adjustment Requested won't be performed; 
